Postcode,State,Fuel Type,Registrations as at 31 January 2022,Total personal income (weekly),Age,Population,Income_Midpoint,Age_Midpoint
4217,QLD,Battery Electric Vehicle,185, $1-$149, 25-34 years,64,75.0,29.5
4217,QLD,Battery Electric Vehicle,185, $300-$399, 25-34 years,291,349.5,29.5
4217,QLD,Battery Electric Vehicle,185, $650-$799, 45-54 years,386,724.5,49.5
4217,QLD,Battery Electric Vehicle,185," $1,750-$1,999", 55-64 years,284,1874.5,59.5
4217,QLD,Battery Electric Vehicle,185," $2,000-$2,999", 20-24 years,22,2499.5,22.0
4217,QLD,Battery Electric Vehicle,185," $3,000-$3499", 45-54 years,194,3249.5,49.5
4217,QLD,Battery Electric Vehicle,185," $1,000-$1,249", 35-44 years,634,1124.5,39.5
4217,QLD,Battery Electric Vehicle,185," $1,250-$1,499", 75-84 years,106,1374.5,79.5
4217,QLD,Battery Electric Vehicle,185," $1,500-$1,749", 20-24 years,49,1624.5,22.0
4217,QLD,Battery Electric Vehicle,185, $300-$399, 55-64 years,329,349.5,59.5
4217,QLD,Battery Electric Vehicle,185, $650-$799, 20-24 years,439,724.5,22.0
4217,QLD,Battery Electric Vehicle,185," $3,000-$3499", 75-84 years,23,3249.5,79.5
4217,QLD,Battery Electric Vehicle,185," $3,500 or more", 25-34 years,116,3500+,29.5
4217,QLD,Battery Electric Vehicle,185, Negative/Nil income, 65-74 years,433,0,69.5
4217,QLD,Battery Electric Vehicle,185," $1,250-$1,499", 15-19 years,4,1374.5,17.0
4217,QLD,Battery Electric Vehicle,185," $1,750-$1,999", 35-44 years,271,1874.5,39.5
4217,QLD,Battery Electric Vehicle,185," $1,750-$1,999", 85 years and over,10,1874.5,85+
4217,QLD,Battery Electric Vehicle,185," $3,500 or more", 45-54 years,474,3500+,49.5
4217,QLD,Battery Electric Vehicle,185, $400-$499, 15-19 years,76,449.5,17.0
4217,QLD,Battery Electric Vehicle,185," $1,000-$1,249", 15-19 years,15,1124.5,17.0
4217,QLD,Battery Electric Vehicle,185, $1-$149, 65-74 years,156,75.0,69.5
4217,QLD,Battery Electric Vehicle,185, Not stated, 85 years and over,155,0,85+
4217,QLD,Battery Electric Vehicle,185, $1-$149, 85 years and over,18,75.0,85+
4217,QLD,Battery Electric Vehicle,185," $1,750-$1,999", 20-24 years,23,1874.5,22.0
4217,QLD,Battery Electric Vehicle,185, $650-$799, 85 years and over,58,724.5,85+
4217,QLD,Battery Electric Vehicle,185," $1,500-$1,749", 65-74 years,214,1624.5,69.5
4217,QLD,Battery Electric Vehicle,185," $1,000-$1,249", 75-84 years,141,1124.5,79.5
2113,NSW,Battery Electric Vehicle,180," $3,500 or more", 45-54 years,353,3500+,49.5
2113,NSW,Battery Electric Vehicle,180, $800-$999, 20-24 years,207,899.5,22.0
2113,NSW,Battery Electric Vehicle,180, Negative/Nil income, 55-64 years,252,0,59.5
2113,NSW,Battery Electric Vehicle,180, $800-$999, 85 years and over,30,899.5,85+
2113,NSW,Battery Electric Vehicle,180," $1,750-$1,999", 55-64 years,121,1874.5,59.5
2113,NSW,Battery Electric Vehicle,180," $1,250-$1,499", 25-34 years,706,1374.5,29.5
2113,NSW,Battery Electric Vehicle,180," $2,000-$2,999", 35-44 years,946,2499.5,39.5
2113,NSW,Battery Electric Vehicle,180, $800-$999, 25-34 years,449,899.5,29.5
